Class, Wavelength (microns), Slope, Unc_slope, Intercept, Unc_intercept
0, 36000.29516661664, 0.20522174485688138, 0.0015457025364791002, -18.520233171645717, 0.002017230714811996
1a, 36000.29516661664, 0.34444337193460917, 0.000991294064421701, -18.817222923624925, 0.0011376634504863127
1b, 36000.29516661664, 0.5940875243598189, 0.0017219738868006792, -19.11911854112375, 0.0012989966678014823
All, 36000.29516661664, 0.457109635605627, 0.0010662174349017057, -18.954540617704893, 0.001106313356773137
0, 24000.196777744422, 0.2183736444317188, 0.001342099079792184, -17.695542842906217, 0.0017515164931052154
1a, 24000.196777744422, 0.34833345738242505, 0.0009952778439183095, -17.979230761139654, 0.0011422354543858136
1b, 24000.196777744422, 0.5975531868064771, 0.0017174285733285361, -18.279767186487533, 0.0012955678428351544
All, 24000.196777744422, 0.4621231607167591, 0.0010456540260728312, -18.11754508251641, 0.0010849766452324294
0, 16000.131185162949, 0.22838476981222167, 0.0011997515233494738, -16.867290723056968, 0.001565744744493899
1a, 16000.131185162949, 0.35118911392802676, 0.0009975613397444152, -17.14073894915071, 0.0011448561194678892
1b, 16000.131185162949, 0.5999136589918689, 0.0017131474164402045, -17.440292159367488, 0.0012923382883251202
All, 16000.131185162949, 0.4658488142055972, 0.0010312073940616654, -17.279882645338375, 0.0010699867365785605
0, 13000.106718037026, 0.23259838498089946, 0.0011486725563841253, -16.44239562899122, 0.0014990837546775305
1a, 13000.106718037026, 0.35251254157353573, 0.000997948827582754, -16.711699601489038, 0.0011453008217686572
1b, 13000.106718037026, 0.6009587290427025, 0.0017106077353557046, -17.01084497203045, 0.001290422442044679
All, 13000.106718037026, 0.46750880331961175, 0.0010255887460059695, -16.85118028314269, 0.0010641567949667007
0, 11000.090336570136, 0.23565923898542573, 0.001116719628042789, -16.100449378112973, 0.0014573833453444688
1a, 11000.090336570136, 0.35359359263746426, 0.0009978915233971376, -16.36690254522211, 0.0011452350563415498
1b, 11000.090336570136, 0.6018054858062797, 0.001708274367510672, -16.665754720525683, 0.0012886622312315616
All, 11000.090336570136, 0.46880887062901555, 0.0010217306853698138, -16.506610526943682, 0.0010601536490104418
0, 7400.06070275884, 0.242219805644587, 0.0010662579133529618, -15.289765505878606, 0.0013915279052503678
1a, 7400.06070275884, 0.35648943338244043, 0.0009965220110880212, -15.55088386491515, 0.0011436633288844891
1b, 7400.06070275884, 0.6041364713711672, 0.0017013975542056832, -15.84916629449439, 0.0012834746046149522
All, 7400.06070275884, 0.47207713037618315, 0.001014264167569597, -15.691013149385418, 0.0010524063470994335
0, 5000.040995363421, 0.24864192716724487, 0.0010397577370039794, -14.491402774123676, 0.0013569436508951479
1a, 5000.040995363421, 0.3602864954696816, 0.0009935681277303374, -14.748617560793013, 0.0011402732902938745
1b, 5000.040995363421, 0.6074820245134849, 0.001692453479478968, -15.046622081918276, 0.001276727508532005
