Class, Wavelength (microns), Std. Dev. of Model Variance
0, 36000.29516661664, 0.6160768980178895
1a, 36000.29516661664, 0.2974417491816886
1b, 36000.29516661664, 0.27948396011619764
All, 36000.29516661664, 0.4138299440520064
0, 24000.196777744422, 0.502709087871256
1a, 24000.196777744422, 0.295302007008271
1b, 24000.196777744422, 0.2771295756394664
All, 24000.196777744422, 0.40144567869694603
0, 16000.131185162949, 0.4296912905047687
1a, 16000.131185162949, 0.29357280154134585
1b, 16000.131185162949, 0.2753510551077931
All, 16000.131185162949, 0.39273312428346996
0, 13000.106718037026, 0.4039447147531685
1a, 13000.106718037026, 0.29258425552411926
1b, 13000.106718037026, 0.27446472988729115
All, 13000.106718037026, 0.38920638999986895
0, 11000.090336570136, 0.387607398939129
1a, 11000.090336570136, 0.2916729805254702
1b, 11000.090336570136, 0.27370469152428145
All, 11000.090336570136, 0.38666701385834407
0, 7400.06070275884, 0.3600683892529686
1a, 7400.06070275884, 0.28890661576679355
1b, 7400.06070275884, 0.27155106415834745
All, 7400.06070275884, 0.3811839706129011
0, 5000.040995363421, 0.3420504588368236
1a, 5000.040995363421, 0.2850144772038583
1b, 5000.040995363421, 0.26863591078722593
All, 5000.040995363421, 0.37570227785619936
0, 3500.02868507946, 0.3288439935254726
1a, 3500.02868507946, 0.28014046577257923
1b, 3500.02868507946, 0.2650152034048497
All, 3500.02868507946, 0.3699427100544534
0, 3350.027475833156, 0.3272836430369478
1a, 3350.027475833156, 0.27944032104164274
1b, 3350.027475833156, 0.26449669390370034
All, 3350.027475833156, 0.369157821993316
0, 2730.0223042423227, 0.31994622090839403
1a, 2730.0223042423227, 0.2758495666143896
1b, 2730.0223042423227, 0.2618499488249242
All, 2730.0223042423227, 0.3652193415909117
0, 2600.021230860895, 0.31816456032822815
1a, 2600.021230860895, 0.2749134214957051
1b, 2600.021230860895, 0.2611646894539219
All, 2600.021230860895, 0.36420988654185066
0, 2250.018447913539, 0.31275629474363614
1a, 2250.018447913539, 0.27195161762019915
1b, 2250.018447913539, 0.25901508612320623
All, 2250.018447913539, 0.36104669386076177
0, 2000.0163981453682, 0.3081662128089099
1a, 2000.0163981453682, 0.2693258957819325
1b, 2000.0163981453682, 0.25713851186128633
All, 2000.0163981453682, 0.35826989095312106
0, 1500.0122986090262, 0.2959949705708458
1a, 1500.0122986090262, 0.2620665321171539
1b, 1500.0122986090262, 0.2521339252805193
All, 1500.0122986090262, 0.3506589259620461
0, 1300.0106718037018, 0.2892915482961643
1a, 1300.0106718037018, 0.257977880230895
1b, 1300.0106718037018, 0.2494467502277611
All, 1300.0106718037018, 0.34638181207699437
0, 1000.0081990726841, 0.2748453191609385
1a, 1000.0081990726841, 0.24900063483287113
1b, 1000.0081990726841, 0.24354229356955195
All, 1000.0081990726841, 0.33658390977937447
0, 700.005737015892, 0.2519792140093022
1a, 700.005737015892, 0.23490607708152392
1b, 700.005737015892, 0.23472311003741653
All, 700.005737015892, 0.32079446565708564
0, 500.00409953634204, 0.22675627169218623
1a, 500.00409953634204, 0.22003824623859075
1b, 500.00409953634204, 0.22548465806881435
All, 500.00409953634204, 0.30294820430332514
0, 350.002868507946, 0.1945089285198972
1a, 350.002868507946, 0.2013936715593696
1b, 350.002868507946, 0.20999616392772089
All, 350.002868507946, 0.27579840296223007
0, 226.001857212083, 0.15243578179266568
1a, 226.001857212083, 0.1777641092599831
1b, 226.001857212083, 0.17872020153114662
All, 226.001857212083, 0.23025553774415158
0, 184.80151060234402, 0.13512958851617501
1a, 184.80151060234402, 0.1698200822372333
1b, 184.80151060234402, 0.16334996565093965
All, 184.80151060234402, 0.2103484283195325
0, 158.501296063549, 0.12334605659489918
1a, 158.501296063549, 0.16604764112999137
1b, 158.501296063549, 0.15402602650090222
All, 158.501296063549, 0.1985556722449451
0, 135.901112091636, 0.1138336348290314
1a, 135.901112091636, 0.16449980155772756
1b, 135.901112091636, 0.14846490095055614
All, 135.901112091636, 0.1907387840132342
0, 116.600954658356, 0.1073132880686841
1a, 116.600954658356, 0.16551378894640004
1b, 116.600954658356, 0.14805165098535839
